File,Record_Key,Field,Chinese_Content_Sample,Char_Count,Category_Type,In_Scope,Action
public/list/word.json,cet4,description,大学英语四级词库,8,D (Chinese metadata),YES,Translate to Vietnamese in localized catalog
public/list/word.json,cet4,category,中国考试,4,D (Chinese metadata),YES,Translate to Vietnamese in localized catalog
public/list/word.json,cet4,tags,"[""大学英语""]",4,D (Chinese metadata),YES,Translate to Vietnamese in localized catalog
public/list/recommend_word.json,cet4,description,大学英语四级词库,8,D (Chinese metadata),YES,Translate to Vietnamese in localized catalog
public/list/recommend_word.json,cet4,category,中国考试,4,D (Chinese metadata),YES,Translate to Vietnamese in localized catalog
public/list/recommend_word.json,cet4,tags,"[""大学英语""]",4,D (Chinese metadata),YES,Translate to Vietnamese in localized catalog
public/list/article.json,nce1,name,新概念英语1,5,D (Chinese metadata),YES,Translate to Vietnamese in localized catalog
public/list/article.json,nce1,description,第一册《英语初阶》讲练基本语音、语调、语法、词法、句法及句型结构，是练好英语基本功的关键。,37,D (Chinese metadata),YES,Translate to Vietnamese in localized catalog
public/list/article.json,nce1,category,文章学习,4,D (Chinese metadata),YES,Translate to Vietnamese in localized catalog
public/list/article.json,nce1,tags,"[""新概念英语""]",5,D (Chinese metadata),YES,Translate to Vietnamese in localized catalog
public/list/recommend_article.json,nce1,name,新概念英语1,5,D (Chinese metadata),YES,Translate to Vietnamese in localized catalog
public/list/recommend_article.json,nce1,description,第一册《英语初阶》讲练基本语音、语调、语法、词法、句法及句型结构，是练好英语基本功的关键。,37,D (Chinese metadata),YES,Translate to Vietnamese in localized catalog
public/list/recommend_article.json,nce1,category,文章学习,4,D (Chinese metadata),YES,Translate to Vietnamese in localized catalog
public/list/recommend_article.json,nce1,tags,"[""新概念英语""]",5,D (Chinese metadata),YES,Translate to Vietnamese in localized catalog
public/dicts/en/article/NCE_1.json,NCE1-Lesson-1 (Excuse me!),titleTranslate,对不起！,3,A (Learner-facing translation),YES,Translate to Vietnamese article title
